SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
088004144708,FIREBALL 50ML,Beach Liquors & Cigars ,71.0,28.0,0.311,,,3
088004144708,FIREBALL 50ML,Warehouse,71.0,0,0.0,,,0
786162001511,SMART WATER SPORTS CAP 700ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,66.0,4.0,0.044,,,1
786162001511,SMART WATER SPORTS CAP 700ML,(FTL Beach/A1A) Ocean Wine & Spirits ,66.0,20.0,0.222,,,2
786162001511,SMART WATER SPORTS CAP 700ML,(Las Olas) Ocean Wine & Spirits ,66.0,8.0,0.089,,,1
786162001511,SMART WATER SPORTS CAP 700ML,Beach Liquors & Cigars ,66.0,34.0,0.378,,,4
786162001511,SMART WATER SPORTS CAP 700ML,Warehouse,66.0,0,0.0,,,0
02838423,MARLBORO GOLD CIGARETTE BOX,(Bayview/Coral Ridge) Ocean Wine & Spirits ,59.0,0,0.0,,,0
02838423,MARLBORO GOLD CIGARETTE BOX,(FTL Beach/A1A) Ocean Wine & Spirits ,59.0,11.0,0.122,,,2
02838423,MARLBORO GOLD CIGARETTE BOX,(Las Olas) Ocean Wine & Spirits ,59.0,26.0,0.289,,,3
02838423,MARLBORO GOLD CIGARETTE BOX,Beach Liquors & Cigars ,59.0,22.0,0.244,,,3
02838423,MARLBORO GOLD CIGARETTE BOX,Warehouse,59.0,0,0.0,,,0
73430562226,ZEPHYRHILLS 23.7OZ Sports Cap,(Bayview/Coral Ridge) Ocean Wine & Spirits ,53.0,0,0.0,,,0
73430562226,ZEPHYRHILLS 23.7OZ Sports Cap,(FTL Beach/A1A) Ocean Wine & Spirits ,53.0,7.0,0.078,,,1
73430562226,ZEPHYRHILLS 23.7OZ Sports Cap,(Las Olas) Ocean Wine & Spirits ,53.0,8.0,0.089,,,1
73430562226,ZEPHYRHILLS 23.7OZ Sports Cap,Beach Liquors & Cigars ,53.0,38.0,0.422,,,4
73430562226,ZEPHYRHILLS 23.7OZ Sports Cap,Warehouse,53.0,0,0.0,,,0
619947000037,TITOS HANDMADE VODKA 80 1.75L,(Bayview/Coral Ridge) Ocean Wine & Spirits ,52.0,12.0,0.133,,,2
619947000037,TITOS HANDMADE VODKA 80 1.75L,(FTL Beach/A1A) Ocean Wine & Spirits ,52.0,5.0,0.056,,,1
619947000037,TITOS HANDMADE VODKA 80 1.75L,(Las Olas) Ocean Wine & Spirits ,52.0,28.0,0.311,,,3
619947000037,TITOS HANDMADE VODKA 80 1.75L,Beach Liquors & Cigars ,52.0,7.0,0.078,,,1
619947000037,TITOS HANDMADE VODKA 80 1.75L,Warehouse,52.0,0,0.0,,,0
25900227333,SWISHER SWEETS 2PK,(Bayview/Coral Ridge) Ocean Wine & Spirits ,49.0,0,0.0,,,0
25900227333,SWISHER SWEETS 2PK,(FTL Beach/A1A) Ocean Wine & Spirits ,49.0,10.0,0.111,,,2
25900227333,SWISHER SWEETS 2PK,(Las Olas) Ocean Wine & Spirits ,49.0,0,0.0,,,0
25900227333,SWISHER SWEETS 2PK,Beach Liquors & Cigars ,49.0,39.0,0.433,,,4
25900227333,SWISHER SWEETS 2PK,Warehouse,49.0,0,0.0,,,0
52000324815,Gatorade Cool Blue 20oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,47.0,2.0,0.022,,,1
52000324815,Gatorade Cool Blue 20oz,(FTL Beach/A1A) Ocean Wine & Spirits ,47.0,6.0,0.067,,,1
52000324815,Gatorade Cool Blue 20oz,(Las Olas) Ocean Wine & Spirits ,47.0,10.0,0.111,,,2
